# u        E        stde    theta_opt     Z          n       stdn     stdz
0.00000  -1.59562  0.02002  -.2874844    0.5878    2.00000  0.00000   0.00970
0.10000  -1.51153  0.02941  -.2882754    0.6041    1.98432  0.00006   0.00801
0.20000  -1.42351  0.08977  -.2883383    0.6161    1.93185  0.06391   0.01069
0.30000  -1.33257  0.05890  -.3159315    0.5632    1.82939  0.10117   0.00896
0.40000  -1.19167  0.02814  -.3365331    0.5532    1.66149  0.00235   0.01653
0.50000  -1.17662  0.01773  -.3355003    0.5117    1.55795  0.02793   0.00622
0.60000  -1.08139  0.03047  -.3456603    0.5228    1.43475  0.01545   0.02803
0.70000  -1.07046  0.03855  -.3923480    0.4288    1.34626  0.02064   0.01396
0.80000  -0.98554  0.03010  -.4293566    0.3834    1.24652  0.01934   0.00574
0.90000  -1.00796  0.03012  -.4531539    0.3171    1.18798  0.03413   0.00563
1.00000  -0.96888  0.01191  -.5061619    0.2845    1.12897  0.01994   0.01121
# Mott
1.1000   -1.04606  0.02124     0. 0.00105  1.0  0.0  0.00078 
1.2000   -1.00874  0.03756     0. 0.00121  1.0  0.0  0.00081 
1.3000   -1.00682  0.00541     0. 0.00259  1.0  0.0  0.00057 
1.4000   -1.00765  0.00214     0. 0.00241  1.0  0.0  0.00099 

