# u       E      n      Z
0.0000 -1.5990 2.0000 0.6353
0.0200 -1.5790 2.0000 0.6354
0.0400 -1.5592 2.0000 0.6356
0.0600 -1.5394 2.0000 0.6361
0.0800 -1.5198 2.0000 0.6367
0.1000 -1.5003 2.0000 0.6375
0.1200 -1.4809 1.9966 0.6377
0.1400 -1.4617 1.9835 0.6357
0.1600 -1.4428 1.9662 0.6325
0.1800 -1.4243 1.9471 0.6288
0.2000 -1.4063 1.9272 0.6247
0.2200 -1.3886 1.9068 0.6203
0.2400 -1.3713 1.8860 0.6157
0.2600 -1.3544 1.8650 0.6108
0.2800 -1.3380 1.8438 0.6056
0.3000 -1.3220 1.8225 0.6002
0.3200 -1.3063 1.8011 0.5946
0.3400 -1.2911 1.7797 0.5887
0.3600 -1.2764 1.7582 0.5826
0.3800 -1.2620 1.7367 0.5762
0.4000 -1.2481 1.7152 0.5695
0.4200 -1.2345 1.6937 0.5626
0.4400 -1.2214 1.6722 0.5554
0.4600 -1.2087 1.6508 0.5479
0.4800 -1.1964 1.6294 0.5402
0.5000 -1.1845 1.6081 0.5321
0.5200 -1.1731 1.5869 0.5238
0.5400 -1.1620 1.5658 0.5151
0.5600 -1.1513 1.5448 0.5061
0.5800 -1.1411 1.5239 0.4968
0.6000 -1.1312 1.5031 0.4871
0.6200 -1.1218 1.4825 0.4770
0.6400 -1.1127 1.4620 0.4666
0.6600 -1.1040 1.4416 0.4558
0.6800 -1.0957 1.4215 0.4447
0.7000 -1.0878 1.4015 0.4331
0.7200 -1.0803 1.3816 0.4210
0.7400 -1.0731 1.3620 0.4086
0.7600 -1.0663 1.3426 0.3956
0.7800 -1.0599 1.3233 0.3822
0.8000 -1.0539 1.3043 0.3683
0.8200 -1.0482 1.2855 0.3538
0.8400 -1.0429 1.2669 0.3388
0.8600 -1.0379 1.2485 0.3232
0.8800 -1.0333 1.2303 0.3070
0.9000 -1.0290 1.2123 0.2901
0.9200 -1.0250 1.1945 0.2725
0.9400 -1.0214 1.1769 0.2541
0.9600 -1.0181 1.1595 0.2348
0.9800 -1.0152 1.1421 0.2145
1.0000 -1.0126 1.1248 0.1930
1.0200 -1.0103 1.1073 0.1699
1.0400 -1.0084 1.0895 0.1448
1.0600 -1.0068 1.0707 0.1164
1.0800 -1.0056 1.0485 0.0805
1.1000 -1.0056 1.0000 0.0000
1.2000 -1.0056 1.0000 0.0000
1.3000 -1.0056 1.0000 0.0000
1.4000 -1.0056 1.0000 0.0000
1.5000 -1.0056 1.0000 0.0000
