 # etot         err         z
 #-2.1133678    1.280763    3.5934
 #-2.0980690    1.263241    3.5466
 -2.4951321    0.938427    0.9410
 -2.3908342    0.499640    1.0300
 -2.2894980    0.411299    0.9645
 -2.2521495    0.391211    0.8062
 -2.1219032    0.311740    0.6821
 -1.7829637    0.212495    0.6432
 -1.7545437    0.143149    0.6256
 -1.6836585    0.100245    0.6096
 -1.6725723    0.081577    0.5862
 -1.6089920    0.038227    0.5979
 -1.6089395    0.025608    0.6143
 -1.6147923    0.028491    0.6067
 -1.6132825    0.027085    0.6067
 -1.6100023    0.033910    0.5856
 -1.5471520    0.027152    0.6134
 -1.5686735    0.020811    0.6450
 -1.5989656    0.034756    0.6221
 -1.5255515    0.009616    0.6328
 -1.5198835    0.012903    0.6249
 -1.5899670    0.017571    0.6110
 -1.5673241    0.024701    0.6041
 -1.5268339    0.016374    0.6051
 -1.5313339    0.020603    0.6150
 -1.5299420    0.019661    0.6238
 -1.5800059    0.030208    0.5967
 -1.5674535    0.019755    0.6318
 -1.5740568    0.021311    0.6125
 -1.6061448    0.026499    0.5929
 -1.5441887    0.019799    0.6267
 -1.6096604    0.051782    0.5695
 -1.6254333    0.027377    0.6008
 -1.6058291    0.026091    0.5968
 -1.6192865    0.026497    0.5964
 -1.6467677    0.029691    0.6035
 -1.6048683    0.020386    0.6035
 -1.5700278    0.013031    0.6116
 -1.5440704    0.006412    0.6106
 -1.5554277    0.007182    0.6052
 -1.5489807    0.021461    0.5908
 -1.5600871    0.015566    0.5977
 -1.5336013    0.008359    0.6117
 -1.5774277    0.013835    0.5995
 -1.6014765    0.035856    0.5757
 -1.6192538    0.031225    0.5807
 -1.6044758    0.022447    0.5885
 -1.6073879    0.026889    0.5790
 -1.5743206    0.008794    0.6201
 -1.5951455    0.026794    0.5849
 -1.6028795    0.027907    0.5801
 -1.6178028    0.041427    0.5655
