# etot          err         z
 #-2.1751056    1.260191    3.5385
 #-2.1751056    1.260191    3.5385
 -2.4899706    0.902923    0.9961
 -2.3509593    0.494774    1.0635
 -2.2753333    0.387168    1.0093
 -2.2051858    0.350709    0.8990
 -2.1131400    0.291552    0.7875
 -1.9878755    0.219728    0.7055
 -1.8525182    0.164201    0.6676
 -1.7757204    0.108689    0.6559
 -1.7320401    0.072073    0.6488
 -1.6991245    0.056269    0.6441
 -1.6741971    0.043561    0.6409
 -1.6554100    0.033535    0.6389
 -1.6413012    0.025721    0.6376
 -1.6307291    0.019680    0.6368
 -1.6228155    0.015034    0.6362
 -1.6168925    0.011473    0.6359
 -1.6124572    0.008750    0.6357
 -1.6091326    0.006670    0.6355
 -1.6066376    0.005083    0.6354
 -1.6047626    0.003872    0.6354
 -1.6033516    0.002950    0.6354
 -1.6022884    0.002247    0.6353
 -1.6014861    0.001712    0.6353
 -1.6008801    0.001304    0.6353
 -1.6004219    0.000993    0.6353
 -1.6000750    0.000756    0.6353
 -1.5998121    0.000576    0.6353
 -1.5996129    0.000439    0.6353
 -1.5994617    0.000334    0.6353
 -1.5993470    0.000255    0.6353
 -1.5992598    0.000194    0.6353
 -1.5991936    0.000148    0.6353
 -1.5991432    0.000112    0.6353
 -1.5991050    0.000086    0.6353
 -1.5990759    0.000065    0.6353
 -1.5990537    0.000050    0.6353
 -1.5990369    0.000038    0.6353
 -1.5990241    0.000029    0.6353
 -1.5990143    0.000022    0.6353
 -1.5990069    0.000017    0.6353
 -1.5990012    0.000013    0.6353
 -1.5989969    0.000010    0.6353
 -1.5989936    0.000007    0.6353
 -1.5989912    0.000006    0.6353
